metric,value,unit,status,semantics,source,pointer,source_sha256,upstream_sha256,reason
d2_n1_candidate_exposures,35,candidate-exposures,available,35 trial nested N=1 subsets,D4/analysis/costs.json,/entries/d2_n1_candidate_exposures,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,891ee8b0d75acf5c825fd01d529d545f12a7fb1b72a4310364a805d8d6cd1ff5,
d2_n2_candidate_exposures,70,candidate-exposures,available,35 trial nested N=2 subsets,D4/analysis/costs.json,/entries/d2_n2_candidate_exposures,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,891ee8b0d75acf5c825fd01d529d545f12a7fb1b72a4310364a805d8d6cd1ff5,
d2_n4_candidate_exposures,140,candidate-exposures,available,35 trial nested N=4 subsets,D4/analysis/costs.json,/entries/d2_n4_candidate_exposures,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,891ee8b0d75acf5c825fd01d529d545f12a7fb1b72a4310364a805d8d6cd1ff5,
d2_scoring_per_candidate_elapsed,0.5534132379999938,seconds/candidate,available,total elapsed divided by 50 validated candidates,D4/analysis/costs.json,/entries/d2_scoring_per_candidate_elapsed,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,7bb67b5283def21b6ecb8f730151b3a4f872d3000d18b57abe6392f87a65f45e,
d2_scoring_total_elapsed,27.670661899999686,seconds,available,CPU-only pipeline elapsed perf_counter; not process CPU time,D4/analysis/costs.json,/entries/d2_scoring_total_elapsed,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,7bb67b5283def21b6ecb8f730151b3a4f872d3000d18b57abe6392f87a65f45e,
d2_selection_elapsed,,seconds,unavailable,selection algorithm elapsed,D4/analysis/costs.json,/entries/d2_selection_elapsed,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,,no trusted timer in D2 receipt
d2_selection_records,315,records,available,three methods x N=1/2/4 x 35 trials,D4/analysis/costs.json,/entries/d2_selection_records,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,aae1410de8d9d90c1266c43cadf17f1fce8666bdc163b709d82504689b38afaf,
d3_reviewer_A_current_view_elapsed_sum,2018.0959999999905,seconds,available,current-view server elapsed including pauses/background/resume; not active labor,D4/analysis/costs.json,/entries/d3_annotator-a_current_view_elapsed_sum,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,c4dd6b2b1ade57da68d15c06f00e122f4e41a4aa99e34f01e3795f6a7dda3502,
d3_reviewer_B_current_view_elapsed_sum,3138.452000000012,seconds,available,current-view server elapsed including pauses/background/resume; not active labor,D4/analysis/costs.json,/entries/d3_annotator-b_current_view_elapsed_sum,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,c4dd6b2b1ade57da68d15c06f00e122f4e41a4aa99e34f01e3795f6a7dda3502,
d4_analysis_compute_elapsed,0.4301004000008106,seconds,available,current D4 analysis perf_counter before artifact publication,D4/analysis/costs.json,/entries/d4_analysis_compute_elapsed,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,,
e0_generation_peak_vram_max,22476.0,MB,available,maximum reported historical per-candidate peak VRAM,D4/analysis/costs.json,/entries/e0_generation_peak_vram_max,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,b0eee7ab41aff575220957fae4dd67afd0fbaac85e4f756d023a9e42929f0b46,
e0_generation_runtime_sum,12413.710511104204,seconds,available,sum of audited historical per-candidate generation runtime; not rerun by Defense MVP,D4/analysis/costs.json,/entries/e0_generation_runtime_sum,12bb28c826e9bf6db5c810d7bb07791b5dcc6d3d2c76a1a42cf18c5607f7ecf1,b0eee7ab41aff575220957fae4dd67afd0fbaac85e4f756d023a9e42929f0b46,
