scope,family,field,wins,losses,ties,uncertain,total,tie_aware_status,tie_aware_win_rate,decisive_status,decisive_win_rate,tie_rate,uncertain_rate,bootstrap_status,bootstrap_lower,bootstrap_upper,valid_bootstrap,invalid_bootstrap
all-42,proposed-n4-vs-n1,overall,5,2,17,4,28,defined,0.5535714285714286,defined,0.7142857142857143,0.6071428571428571,0.14285714285714285,defined,0.48214285714285715,0.6428571428571429,2000,0
all-42,proposed-n4-vs-n1,faithfulness,3,4,19,2,28,defined,0.48214285714285715,defined,0.42857142857142855,0.6785714285714286,0.07142857142857142,defined,0.39285714285714285,0.5535714285714286,2000,0
all-42,proposed-n4-vs-n1,preservation,3,5,16,4,28,defined,0.4642857142857143,defined,0.375,0.5714285714285714,0.14285714285714285,defined,0.375,0.5535714285714286,2000,0
all-42,proposed-n4-vs-n1,temporal_consistency,2,1,24,1,28,defined,0.5178571428571429,defined,0.6666666666666666,0.8571428571428571,0.03571428571428571,defined,0.4642857142857143,0.5714285714285714,2000,0
all-42,proposed-n4-vs-n1,visual_quality,4,4,16,4,28,defined,0.5,defined,0.5,0.5714285714285714,0.14285714285714285,defined,0.4107142857142857,0.6071428571428571,2000,0
all-42,proposed-vs-linear-n4,overall,2,2,9,1,14,defined,0.5,defined,0.5,0.6428571428571429,0.07142857142857142,defined,0.35714285714285715,0.6428571428571429,2000,0
all-42,proposed-vs-linear-n4,faithfulness,2,1,10,1,14,defined,0.5357142857142857,defined,0.6666666666666666,0.7142857142857143,0.07142857142857142,defined,0.42857142857142855,0.6428571428571429,2000,0
all-42,proposed-vs-linear-n4,preservation,2,2,8,2,14,defined,0.5,defined,0.5,0.5714285714285714,0.14285714285714285,defined,0.35714285714285715,0.6428571428571429,2000,0
all-42,proposed-vs-linear-n4,temporal_consistency,2,1,10,1,14,defined,0.5357142857142857,defined,0.6666666666666666,0.7142857142857143,0.07142857142857142,defined,0.42857142857142855,0.6428571428571429,2000,0
all-42,proposed-vs-linear-n4,visual_quality,2,2,8,2,14,defined,0.5,defined,0.5,0.5714285714285714,0.14285714285714285,defined,0.35714285714285715,0.6428571428571429,2000,0
